restaurant,review_date,traveler_type,review
食令Shabu,2025-01-01T00:00:00Z,Family,"Good choice for those who want to eat a pan, want to park, and lazy to cook. Minimum 4 seats in the cabin, less than NT$10,000, two cabins can become a cabin, open two pots, less than NT$18,000, do not mind to merge into a growing table, convenient parking in the place, also suitable for business meals. Table service is full! The ingredients are mainly fresh foods, the proportion of potatoes is low, and the carrot with spicy pie is not the tiger, recommended"
食令Shabu,2025-09-01T00:00:00Z,Friends,Delicious 101 parking is also convenient The lighting atmosphere is great The ingredients are fresh The taste is delicious Recommend friends to eat Also often come to eat Recommended Good place to eat
食令Shabu,2023-10-01T00:00:00Z,Family,"The high-end hot pot dish known as the Hermès in the hot pot world Menu includes many top-quality ingredients Boston Lobster, Kagoshima A5 Wagyu, Prime Beef Short Rib, Abalone, Red Sweet Potato As soon as it arrives on the table, there are so many beautiful things to look at. The vegetable plate is also carefully selected The vegetables and ingredients are arranged beautifully when they are put into the pot. The waiter's service at the table is very considerate and friendly. The quality of vegetables, meat and seafood is naturally very good Huazhi balls and handmade shrimp paste are delicious and authentic Japanese green onion bamboo rings are delicious and have a special aroma of green onions. The last side dish to go with the porridge is the spicy dried radish which is very tasty. The set meal is quite filling. From appetizers, dishes, main meals, porridge to desserts, everything is exquisite. The overall service is also commendable Looking at the quality of the ingredients alone, I still think it’s a bit expensive. It can only be said that the pricing includes all the added value. Come and experience the quality of high-end dining. You can try it."
食令Shabu,2025-05-01T00:00:00Z,Couples,"Three visits already! Great dining environment and service, very child-friendly Highly recommended, the Mother's Day set menu is very cost-effective, and the seafood and meat are both fresh. When children sit down, there are rice balls and crayons to attract their attention, allowing parents to concentrate on eating. This is a restaurant that they often come to. The price reflects the service."
食令Shabu,2025-05-01T00:00:00Z,Couples,"At the first visit, the atmosphere in the store was good, and the service staff was kind and courteous, helping to introduce the various packages on the menu. Seafood is very fresh, service staff will also help cook, do not eat busy hands and feet, you can enjoy delicious food. Meat is also very delicious, especially and cattle, memorable many times"
食令Shabu,2025-04-01T00:00:00Z,Family,"The first visit, the overall meal experience was very satisfied. The restaurant environment is clean and comfortable, there are proper spacing between seats and there is no feeling crowded. The attitude of the staff is kind, the introduction menu is also very careful, so that people feel valued. In terms of meals, each ingredient is very fresh, especially handmade fresh chili pills, taste solid tooth, eat the real material! The soup is sweet and sweet, not too oily, combined with vegetables and seafood ingredients. Overall, whether the service, the environment or the quality of the meal is very good, I would like to visit again and also recommend it to friends who love hot pot or pot food!"
食令Shabu,2025-09-01T00:00:00Z,Family,"The overall experience is pretty good. The variety of sauces ranges from refreshing quintessential soup to intense marijuana pots to meet the needs of different tastes. The meat is cut fresh and thick, it is not easy to dissolve after cooking, and the vegetables are also quite diverse, so that they are clean and sweet. What surprised me most was that the sauce area has a lot to choose from, and you can freely match your favorite taste. The attitude of the staff is kind, the cooking speed is also fast, making the meal process more enjoyable. Proportion is sufficient, the price and quality are in proportion, is worth visiting a shop."
食令Shabu,2024-06-01T00:00:00Z,Family,"A family of two and one small ordered the Boston lobster set meal for two, Suntory beer, Calpis, and sparkling mineral water. The service experience was good. The children were given a furikake rice ball and drawing paper and pen, so that the parents could eat with peace of mind."
食令Shabu,2023-11-01T00:00:00Z,Business,"The vegetables are green, the tofu is soft and tender, the ingredients are fresh, the soup is fresh and sweet, the meat is refreshing, the oil is plump, the seafood is fresh and sweet, and the service at the table is very considerate so as not to waste the delicious food. Friends come here to chat and dine happily, and the space is comfortable , a high-priced place where you can relax and have a stress-free meal. Today is a company and department dinner, and everyone’s reviews are very good."
食令Shabu,2024-06-01T00:00:00Z,Friends,"The service is very good, the seafood ingredients are super fresh, and the appetizer of oil and vinegar cherry duck is so tender and delicious. The dining environment is mysterious and low-key in black industrial style. The main dish of silky chicken was generous and good value for money."
