rest_name,cuisine,ratings,location,num_reviews
Umeko Restaurant,"Chinese, Japanese",4.5,Zhongshan District,635
食令Shabu,"Seafood, Asian",4.9,Xinyi District,1374
Din Tai Fung,Taiwanese,4.5,Xinyi District,4722
A Point Steak & Bar,"Steakhouse, Diner",4.9,Xinyi District,467
Shin Yeh Taiwanese Cuisine-Original Restaurant,"Chinese, Asian",4.2,Zhongshan District,686
Formosa Restaurant,"Chinese, Asian",4.9,Da'an,169
Mosun Teppanyaki,"Southwestern, Asian",4.9,Da'an,831
Host Shabu,"Seafood, Asian",4.8,Xinyi District,2441
Yang Shin Vegetarian Restaurant,"Cantonese, Taiwanese",4.4,Zhongshan District,2431
Hangzhou Xiaolong Bao,"Chinese, Asian",4.2,Da'an,806
Umeko Japanese Unagi House,"Japanese, Sushi",4.8,NA,360
Fuda Dumpling,"Chinese, Asian",4.4,Zhongshan District,363
Din Tai Fung (Shinkong Mitsukoshi),"Asian, Taiwanese",4.4,Zhongshan District,739
Din Tai Fung,"Chinese, Asian",4.4,Zhongzheng District,4914
Shang Palace,"Chinese, Asian",4.8,Da'an,449
Le Mian Wu Japanese Restaurant,Japanese,4.8,Wanhua,377
Palais de Chine Hotel -Le Palais,"Chinese, Asian",4.5,Datong,928
Sihai Soy Milk,"Chinese, Asian",4.3,Datong,150
Yen Chinese Restaurant,"Chinese, Asian",4.7,Xinyi District,1415
Yangtse River,"Chinese, Asian",4.9,Da'an,348
Modern Toilet Restaurant,Asian,4.7,Shilin,575
Nowhere Taipei,"Mexican, Bar",5,NA,65
Matsusaka Tei,"Japanese, Barbecue",4.9,Xinyi District,359
Lao Shan Dong Noodles Made by Hand,"Chinese, Asian",4.1,Wanhua,61
Le Blanc,"American, Steakhouse",4.8,Da'an,2583
Din Tai Fung (Tienmu),"Chinese, Asian",4.5,Shilin,349
CÉ LA VI Taipei,"Bar, Korean",4.5,Xinyi District,68
Din Tai Fung (Fuxing Branch),"Chinese, Asian",4.4,Da'an,1119
W XYZ Bar,"Bars & Pubs, American",4.9,Zhongshan District,560
Shin Yeh Japanese Buffet - Guancian Restaurant,"Japanese, Seafood",4.4,Zhongzheng District,1753
Kiki Restaurant,"Chinese, Asian",4.4,Da'an,440
Meat Boss Shabu Shabu Hotpot - Dunhua South,"Chinese, Asian",4.8,Da'an,407
Balle Balle Indian Restaurant,"Indian, Asian",4.6,Songshan,689
Texas Roadhouse,"American, Steakhouse",4.3,Xinyi District,892
Le Palais Restaurant,"Chinese, Asian",4.4,Datong,25
Jin Feng Lu Rou Fan,Chinese,4.2,Zhongzheng District,867
Wulao,"Chinese, Asian",4.4,Zhongshan District,778
WOOBAR,"Bar, International",4.8,Xinyi District,979
Shi Ling Shabu,"Seafood, Asian",4.9,Zhongshan District,162
Le Mian Wu,"Japanese, Asian",4.9,Da'an,469
Cafe - Grand Hyatt Taipei,"Chinese, International",4.2,Xinyi District,1659
Yen Bar,"American, Bar",4.9,Xinyi District,401
Diamond Tony's 101 Authentic Italian Cuisine,"Italian, Bar",4.2,Xinyi District,2228
Liu Shandong Beef Noodles,Chinese,4.1,Zhongzheng District,192
Prime One Steak House,Steakhouse,4.4,Zhongzheng District,292
BravoCafe Taipei No.3,"Bars & Pubs, Italian",4.8,Zhongshan District,520
Fuhong Beef Noodles,"Chinese, Asian",4.2,Wanhua,177
Moonlight Cantonese Restaurant - COURTYARD TAIPEI,"Chinese, Asian",4.8,Nangang,411
No 168 Prime Steakhouse,"Steakhouse, European",4.5,Zhongshan District,944
Spice Market,"Seafood, Asian",4.3,Xinyi District,993
Marshal Zen Garden,"Chinese, International",4.1,Beitou,302
ikki New Japanese Restaurant(Taipei Hengyan),"Japanese, Asian",4.4,Zhongzheng District,656
Taïrroir,"French, European",4.4,Zhongshan District,285
Fresh & Aged Italian Steak House,"Steakhouse, Fusion",4.4,Neihu,447
Addiction Aquatic Development,"Japanese, Seafood",4.2,Zhongshan District,1384
ShinYeh Japanese Buffet - Jhongshan Restaurant,"Japanese, Sushi",4.3,Zhongshan District,2049
A Cheng Goose,"Chinese, Asian",4.5,Zhongshan District,149
Chamonix Teppanyaki - Taipei Zhongshan N.Branch,"Asian, Soups",4.5,Zhongshan District,1165
Rakuken Taipei,"Japanese, Steakhouse",4.8,Da'an,345
Grand Hilai,"Chinese, Japanese",4.3,Da'an,6461
Lin Dong Fang Niu Rou Mian,"Chinese, Asian",4.2,Zhongshan District,581
The Dragon - Sheraton Grand Taipei Hotel,"Chinese, Asian",4.5,Zhongzheng District,279
Golden Formosa,Taiwanese,4.3,Shilin,77
Top One Pot - Xinyi,"Chinese, Asian",4.4,Da'an,760
Osteria By Vincent,"Chinese, American",4.8,Da'an,263
Mediterranean Steak House At The Riviera Taipei,"Steakhouse, European",4.6,Zhongshan District,1316
L'Atelier De Joël Robuchon,"French, European",4.3,Xinyi District,400
Yi Jia Zi,"Asian, Taiwanese",4.5,Wanhua,20
Silks Palace,"Asian, Cantonese",4,Shilin,318
Taiwanese Cuisine & Champagne at Fujin Tree,"Chinese, Asian",4.1,Songshan,56
Irodori Grand Hyatt Taipei,"Japanese, Sushi",4.2,Xinyi District,582
Ya Ge,"Chinese, Asian",4.3,Songshan,135
