rest_name,ratings,location,num_reviews,city,cuisine_type
Umeko Restaurant,4.5,Zhongshan,635,Taipei,chinese
Umeko Restaurant,4.5,Zhongshan,635,Taipei,japanese
食令Shabu,4.9,Xinyi,1374,Taipei,seafood
食令Shabu,4.9,Xinyi,1374,Taipei,asian
Din Tai Fung,4.5,Xinyi,4722,Taipei,taiwanese
A Point Steak & Bar,4.9,Xinyi,467,Taipei,steakhouse
A Point Steak & Bar,4.9,Xinyi,467,Taipei,diner
Shin Yeh Taiwanese Cuisine-Original Restaurant,4.2,Zhongshan,686,Taipei,chinese
Shin Yeh Taiwanese Cuisine-Original Restaurant,4.2,Zhongshan,686,Taipei,asian
Formosa Restaurant,4.9,Da'an,169,Taipei,chinese
Formosa Restaurant,4.9,Da'an,169,Taipei,asian
Mosun Teppanyaki,4.9,Da'an,831,Taipei,southwestern
Mosun Teppanyaki,4.9,Da'an,831,Taipei,asian
Host Shabu,4.8,Xinyi,2441,Taipei,seafood
Host Shabu,4.8,Xinyi,2441,Taipei,asian
Yang Shin Vegetarian Restaurant,4.4,Zhongshan,2431,Taipei,cantonese
Yang Shin Vegetarian Restaurant,4.4,Zhongshan,2431,Taipei,taiwanese
Hangzhou Xiaolong Bao,4.2,Da'an,806,Taipei,chinese
Hangzhou Xiaolong Bao,4.2,Da'an,806,Taipei,asian
Umeko Japanese Unagi House,4.8,Taipei,360,Taipei,japanese
Umeko Japanese Unagi House,4.8,Taipei,360,Taipei,sushi
Fuda Dumpling,4.4,Zhongshan,363,Taipei,chinese
Fuda Dumpling,4.4,Zhongshan,363,Taipei,asian
Din Tai Fung (Shinkong Mitsukoshi),4.4,Zhongshan,739,Taipei,asian
Din Tai Fung (Shinkong Mitsukoshi),4.4,Zhongshan,739,Taipei,taiwanese
Din Tai Fung,4.4,Zhongzheng,4914,Taipei,chinese
Din Tai Fung,4.4,Zhongzheng,4914,Taipei,asian
Shang Palace,4.8,Da'an,449,Taipei,chinese
Shang Palace,4.8,Da'an,449,Taipei,asian
Le Mian Wu Japanese Restaurant,4.8,Wanhua,377,Taipei,japanese
Palais de Chine Hotel -Le Palais,4.5,Datong,928,Taipei,chinese
Palais de Chine Hotel -Le Palais,4.5,Datong,928,Taipei,asian
Sihai Soy Milk,4.3,Datong,150,Taipei,chinese
Sihai Soy Milk,4.3,Datong,150,Taipei,asian
Yen Chinese Restaurant,4.7,Xinyi,1415,Taipei,chinese
Yen Chinese Restaurant,4.7,Xinyi,1415,Taipei,asian
Yangtse River,4.9,Da'an,348,Taipei,chinese
Yangtse River,4.9,Da'an,348,Taipei,asian
Modern Toilet Restaurant,4.7,Shilin,575,Taipei,asian
Nowhere Taipei,5,Taipei,65,Taipei,mexican
Nowhere Taipei,5,Taipei,65,Taipei,bar
Matsusaka Tei,4.9,Xinyi,359,Taipei,japanese
Matsusaka Tei,4.9,Xinyi,359,Taipei,barbecue
Lao Shan Dong Noodles Made by Hand,4.1,Wanhua,61,Taipei,chinese
Lao Shan Dong Noodles Made by Hand,4.1,Wanhua,61,Taipei,asian
Le Blanc,4.8,Da'an,2583,Taipei,american
Le Blanc,4.8,Da'an,2583,Taipei,steakhouse
Din Tai Fung (Tienmu),4.5,Shilin,349,Taipei,chinese
Din Tai Fung (Tienmu),4.5,Shilin,349,Taipei,asian
CÉ LA VI Taipei,4.5,Xinyi,68,Taipei,bar
CÉ LA VI Taipei,4.5,Xinyi,68,Taipei,korean
Din Tai Fung (Fuxing Branch),4.4,Da'an,1119,Taipei,chinese
Din Tai Fung (Fuxing Branch),4.4,Da'an,1119,Taipei,asian
W XYZ Bar,4.9,Zhongshan,560,Taipei,bars
W XYZ Bar,4.9,Zhongshan,560,Taipei,pubs
W XYZ Bar,4.9,Zhongshan,560,Taipei,american
Shin Yeh Japanese Buffet - Guancian Restaurant,4.4,Zhongzheng,1753,Taipei,japanese
Shin Yeh Japanese Buffet - Guancian Restaurant,4.4,Zhongzheng,1753,Taipei,seafood
Kiki Restaurant,4.4,Da'an,440,Taipei,chinese
Kiki Restaurant,4.4,Da'an,440,Taipei,asian
Meat Boss Shabu Shabu Hotpot - Dunhua South,4.8,Da'an,407,Taipei,chinese
Meat Boss Shabu Shabu Hotpot - Dunhua South,4.8,Da'an,407,Taipei,asian
Balle Balle Indian Restaurant,4.6,Songshan,689,Taipei,indian
Balle Balle Indian Restaurant,4.6,Songshan,689,Taipei,asian
Texas Roadhouse,4.3,Xinyi,892,Taipei,american
Texas Roadhouse,4.3,Xinyi,892,Taipei,steakhouse
Le Palais Restaurant,4.4,Datong,25,Taipei,chinese
Le Palais Restaurant,4.4,Datong,25,Taipei,asian
Jin Feng Lu Rou Fan,4.2,Zhongzheng,867,Taipei,chinese
Wulao,4.4,Zhongshan,778,Taipei,chinese
Wulao,4.4,Zhongshan,778,Taipei,asian
WOOBAR,4.8,Xinyi,979,Taipei,bar
WOOBAR,4.8,Xinyi,979,Taipei,international
Shi Ling Shabu,4.9,Zhongshan,162,Taipei,seafood
Shi Ling Shabu,4.9,Zhongshan,162,Taipei,asian
Le Mian Wu,4.9,Da'an,469,Taipei,japanese
Le Mian Wu,4.9,Da'an,469,Taipei,asian
Cafe - Grand Hyatt Taipei,4.2,Xinyi,1659,Taipei,chinese
Cafe - Grand Hyatt Taipei,4.2,Xinyi,1659,Taipei,international
Yen Bar,4.9,Xinyi,401,Taipei,american
Yen Bar,4.9,Xinyi,401,Taipei,bar
Diamond Tony's 101 Authentic Italian Cuisine,4.2,Xinyi,2228,Taipei,italian
Diamond Tony's 101 Authentic Italian Cuisine,4.2,Xinyi,2228,Taipei,bar
Liu Shandong Beef Noodles,4.1,Zhongzheng,192,Taipei,chinese
Prime One Steak House,4.4,Zhongzheng,292,Taipei,steakhouse
BravoCafe Taipei No.3,4.8,Zhongshan,520,Taipei,bars
BravoCafe Taipei No.3,4.8,Zhongshan,520,Taipei,pubs
BravoCafe Taipei No.3,4.8,Zhongshan,520,Taipei,italian
Fuhong Beef Noodles,4.2,Wanhua,177,Taipei,chinese
Fuhong Beef Noodles,4.2,Wanhua,177,Taipei,asian
Moonlight Cantonese Restaurant - COURTYARD TAIPEI,4.8,Nangang,411,Taipei,chinese
Moonlight Cantonese Restaurant - COURTYARD TAIPEI,4.8,Nangang,411,Taipei,asian
No 168 Prime Steakhouse,4.5,Zhongshan,944,Taipei,steakhouse
No 168 Prime Steakhouse,4.5,Zhongshan,944,Taipei,european
Spice Market,4.3,Xinyi,993,Taipei,seafood
Spice Market,4.3,Xinyi,993,Taipei,asian
Marshal Zen Garden,4.1,Beitou,302,Taipei,chinese
Marshal Zen Garden,4.1,Beitou,302,Taipei,international
ikki New Japanese Restaurant(Taipei Hengyan),4.4,Zhongzheng,656,Taipei,japanese
ikki New Japanese Restaurant(Taipei Hengyan),4.4,Zhongzheng,656,Taipei,asian
Taïrroir,4.4,Zhongshan,285,Taipei,french
Taïrroir,4.4,Zhongshan,285,Taipei,european
Fresh & Aged Italian Steak House,4.4,Neihu,447,Taipei,steakhouse
Fresh & Aged Italian Steak House,4.4,Neihu,447,Taipei,fusion
Addiction Aquatic Development,4.2,Zhongshan,1384,Taipei,japanese
Addiction Aquatic Development,4.2,Zhongshan,1384,Taipei,seafood
ShinYeh Japanese Buffet - Jhongshan Restaurant,4.3,Zhongshan,2049,Taipei,japanese
ShinYeh Japanese Buffet - Jhongshan Restaurant,4.3,Zhongshan,2049,Taipei,sushi
A Cheng Goose,4.5,Zhongshan,149,Taipei,chinese
A Cheng Goose,4.5,Zhongshan,149,Taipei,asian
Chamonix Teppanyaki - Taipei Zhongshan N.Branch,4.5,Zhongshan,1165,Taipei,asian
Chamonix Teppanyaki - Taipei Zhongshan N.Branch,4.5,Zhongshan,1165,Taipei,soups
Rakuken Taipei,4.8,Da'an,345,Taipei,japanese
Rakuken Taipei,4.8,Da'an,345,Taipei,steakhouse
