rest_name,cuisine,ratings,location,num_reviews,city
Grand Hilai Taoyuan Taimou,"Chinese, Seafood",4.3,Luzhu District,6,Hsinchu
ShinYeh Japanese Buffet - Zhongmao Shop,"Japanese, Seafood",4.4,Taoyuan District,907,Hsinchu
Chun Shui Tang (Taoyuan Airport),"Chinese, Asian",4.1,Dayuan District,91,Hsinchu
Top One Pot ZhongMei,Chinese,4.4,Zhongli District,297,Hsinchu
Best01 Tea Garden,"Asian, Taiwanese",4.4,Longtan District,33,Hsinchu
Dim Sum Kitchen,,4.2,Taoyuan District,853,Hsinchu
Hotel Kuva Chateau- Tang’s Chinese Restaurant,"Chinese, Asian",4.3,Zhongli District,299,Hsinchu
ikki New Japanese Restaurant (Taoyuan Nanhua),Japanese,4.4,Taoyuan District,365,Hsinchu
The Square,"International, Asian",3.8,Dayuan District,352,Hsinchu
Chiang Fu Yan,"Chinese, Asian",4.4,Longtan District,13,Hsinchu
Our Noodles Garden,"Chinese, Fast Food",4.3,Daxi District,42,Hsinchu
The Shrimp Daddy - Taoyuan Tonlin Plaza,Seafood,4.2,Taoyuan District,80,Hsinchu
Wang Steak (Taoyuan Zhongli Yanping Branch),Steakhouse,4.4,NA,217,Hsinchu
Chus Steak,"French, Steakhouse",4.4,Zhongli District,34,Hsinchu
Da Jiang Wu Hakka Restaurant,"Asian, Taiwanese",4.2,Longtan District,18,Hsinchu
Sanhoyan - Taoyuan Gloria Outlet,Taiwanese,4,Zhongli District,28,Hsinchu
Wei Fang Chinese Restaurant,"Chinese, Asian",4,Dayuan District,88,Hsinchu
Tokiya (Bade Dahe Branch),,4.3,Bade District,112,Hsinchu
Domy,,4.5,Daxi District,11,Hsinchu
Hit Western Restaurant - Fame Hall Garden Hotel,"Italian, American",4.8,Longtan District,5,Hsinchu
TGI FRIDAYS Hwa Tai,,4.2,Zhongli District,179,Hsinchu
Eatogether,Fusion,4.3,Taoyuan District,103,Hsinchu
Timhowan - Taoyuan Tai Mall Store,"Chinese, Asian",4.1,Luzhu District,252,Hsinchu
Homee Kitchen,"Chinese, Asian",3.4,Dayuan District,60,Hsinchu
Pine Garden,"Chinese, Contemporary",4.2,Longtan District,12,Hsinchu
Great Kuva Thai Food (Hotel Kuva Chateau ),Thai,4.4,NA,145,Hsinchu
Yi Nancun Juan Cun Niurou Mian,"Asian, Taiwanese",4,Yangmei District,8,Hsinchu
Eatogether Taoyuan Zhongli Sogo,Opens in 9 min,4.4,Zhongli District,86,Hsinchu
Tokiya (Zhongli Zhongshan Branch),,4.3,Zhongli District,214,Hsinchu
Gudi Kitchen,"Steakhouse, International",4.8,Taoyuan District,6,Hsinchu
Top One Pot - Daxingxi,,4.4,Taoyuan District,261,Hsinchu
Xin Mei Long Qu Restaurant,"Asian, Taiwanese",4.8,Xinwu District,4,Hsinchu
Bistro: D,,3.8,Dayuan District,78,Hsinchu
