rest_name,cuisine,ratings,location,num_reviews,city
Grand Hilai Taoyuan Taimou,"Chinese, Seafood",4.3,Luzhu District,6,Kaohsiung
ShinYeh Japanese Buffet - Zhongmao Shop,"Japanese, Seafood",4.4,Taoyuan District,907,Kaohsiung
Chun Shui Tang (Taoyuan Airport),"Chinese, Asian",4.1,Dayuan District,91,Kaohsiung
Top One Pot ZhongMei,Chinese,4.4,Zhongli District,297,Kaohsiung
Best01 Tea Garden,"Asian, Taiwanese",4.4,Longtan District,33,Kaohsiung
Dim Sum Kitchen,,4.2,Taoyuan District,853,Kaohsiung
Hotel Kuva Chateau- Tang’s Chinese Restaurant,"Chinese, Asian",4.3,Zhongli District,299,Kaohsiung
ikki New Japanese Restaurant (Taoyuan Nanhua),Japanese,4.4,Taoyuan District,365,Kaohsiung
The Square,"International, Asian",3.8,Dayuan District,352,Kaohsiung
Chiang Fu Yan,"Chinese, Asian",4.4,Longtan District,13,Kaohsiung
Our Noodles Garden,"Chinese, Fast Food",4.3,Daxi District,42,Kaohsiung
The Shrimp Daddy - Taoyuan Tonlin Plaza,Seafood,4.2,Taoyuan District,80,Kaohsiung
Wang Steak (Taoyuan Zhongli Yanping Branch),Steakhouse,4.4,NA,217,Kaohsiung
Chus Steak,"French, Steakhouse",4.4,Zhongli District,34,Kaohsiung
Da Jiang Wu Hakka Restaurant,"Asian, Taiwanese",4.2,Longtan District,18,Kaohsiung
Sanhoyan - Taoyuan Gloria Outlet,Taiwanese,4,Zhongli District,28,Kaohsiung
Wei Fang Chinese Restaurant,"Chinese, Asian",4,Dayuan District,88,Kaohsiung
Tokiya (Bade Dahe Branch),,4.3,Bade District,112,Kaohsiung
Domy,,4.5,Daxi District,11,Kaohsiung
Hit Western Restaurant - Fame Hall Garden Hotel,"Italian, American",4.8,Longtan District,5,Kaohsiung
TGI FRIDAYS Hwa Tai,,4.2,Zhongli District,179,Kaohsiung
Eatogether,Fusion,4.3,Taoyuan District,103,Kaohsiung
Timhowan - Taoyuan Tai Mall Store,"Chinese, Asian",4.1,Luzhu District,252,Kaohsiung
Homee Kitchen,"Chinese, Asian",3.4,Dayuan District,60,Kaohsiung
Pine Garden,"Chinese, Contemporary",4.2,Longtan District,12,Kaohsiung
Great Kuva Thai Food (Hotel Kuva Chateau ),Thai,4.4,NA,145,Kaohsiung
Yi Nancun Juan Cun Niurou Mian,"Asian, Taiwanese",4,Yangmei District,8,Kaohsiung
Eatogether Taoyuan Zhongli Sogo,Opens in 9 min,4.4,Zhongli District,86,Kaohsiung
Tokiya (Zhongli Zhongshan Branch),,4.3,Zhongli District,214,Kaohsiung
Gudi Kitchen,"Steakhouse, International",4.8,Taoyuan District,6,Kaohsiung
Top One Pot - Daxingxi,,4.4,Taoyuan District,261,Kaohsiung
Xin Mei Long Qu Restaurant,"Asian, Taiwanese",4.8,Xinwu District,4,Kaohsiung
Bistro: D,,3.8,Dayuan District,78,Kaohsiung
Da Tang Mei Goose Diner,"Asian, Taiwanese",4.2,Longtan District,24,Kaohsiung
Deng Shousi,,4.8,Yangmei District,5,Kaohsiung
Rong Shu Xia Lao a Bo Fresh Braised Bean Curd,"Asian, Taiwanese",4.2,Daxi District,38,Kaohsiung
Big Pier - Flagship Store,American,4.4,Zhongli District,7,Kaohsiung
Pizza Rock Nankan,"Italian, American",4.8,Luzhu District,54,Kaohsiung
Cafe Tin,,4.3,Zhongli District,20,Kaohsiung
Va Restaurant (Chateau de Chine Hotel Taoyuan),,3.7,Taoyuan District,440,Kaohsiung
Yangmei Hakka Restaurant,"Asian, Taiwanese",4.1,Yangmei District,18,Kaohsiung
Lake House,Open now,5,Yangmei District,2,Kaohsiung
Laojia Restaurant,Chinese,4.2,Fuxing District,5,Kaohsiung
Tina Kitchen,Fusion,4,Fuxing District,6,Kaohsiung
Vege Creek,"Asian, TaiwaneseOpen now",4.8,NA,4,Kaohsiung
Wang Steak (Taoyuan Tongde Branch),"American, Steakhouse",4.4,Taoyuan District,267,Kaohsiung
Sunlight Books,ItalianOpen now,5,Yangmei District,2,Kaohsiung
NINI Garden Italian Restaurant,"Italian, Steakhouse",4.4,Luzhu District,41,Kaohsiung
