rest_name,cuisine,ratings,location,num_reviews,city
Umeko Restaurant,"Chinese, Japanese",4.5,Zhongshan District,635,Taipei
食令Shabu,"Seafood, Asian",4.9,Xinyi District,1374,Taipei
Din Tai Fung,Taiwanese,4.5,Xinyi District,4722,Taipei
A Point Steak & Bar,"Steakhouse, Diner",4.9,Xinyi District,467,Taipei
Shin Yeh Taiwanese Cuisine-Original Restaurant,"Chinese, Asian",4.2,Zhongshan District,686,Taipei
Formosa Restaurant,"Chinese, Asian",4.9,Da'an,169,Taipei
Mosun Teppanyaki,"Southwestern, Asian",4.9,Da'an,831,Taipei
Host Shabu,"Seafood, Asian",4.8,Xinyi District,2441,Taipei
Yang Shin Vegetarian Restaurant,"Cantonese, Taiwanese",4.4,Zhongshan District,2431,Taipei
Hangzhou Xiaolong Bao,"Chinese, Asian",4.2,Da'an,806,Taipei
Umeko Japanese Unagi House,"Japanese, Sushi",4.8,Taipei,360,Taipei
Fuda Dumpling,"Chinese, Asian",4.4,Zhongshan District,363,Taipei
Din Tai Fung (Shinkong Mitsukoshi),"Asian, Taiwanese",4.4,Zhongshan District,739,Taipei
Din Tai Fung,"Chinese, Asian",4.4,Zhongzheng District,4914,Taipei
Shang Palace,"Chinese, Asian",4.8,Da'an,449,Taipei
Le Mian Wu Japanese Restaurant,Japanese,4.8,Wanhua,377,Taipei
Palais de Chine Hotel -Le Palais,"Chinese, Asian",4.5,Datong,928,Taipei
Sihai Soy Milk,"Chinese, Asian",4.3,Datong,150,Taipei
Yen Chinese Restaurant,"Chinese, Asian",4.7,Xinyi District,1415,Taipei
Yangtse River,"Chinese, Asian",4.9,Da'an,348,Taipei
Modern Toilet Restaurant,Asian,4.7,Shilin,575,Taipei
Nowhere Taipei,"Mexican, Bar",5,Taipei,65,Taipei
Matsusaka Tei,"Japanese, Barbecue",4.9,Xinyi District,359,Taipei
Lao Shan Dong Noodles Made by Hand,"Chinese, Asian",4.1,Wanhua,61,Taipei
Le Blanc,"American, Steakhouse",4.8,Da'an,2583,Taipei
Din Tai Fung (Tienmu),"Chinese, Asian",4.5,Shilin,349,Taipei
CÉ LA VI Taipei,"Bar, Korean",4.5,Xinyi District,68,Taipei
Din Tai Fung (Fuxing Branch),"Chinese, Asian",4.4,Da'an,1119,Taipei
W XYZ Bar,"Bars & Pubs, American",4.9,Zhongshan District,560,Taipei
Shin Yeh Japanese Buffet - Guancian Restaurant,"Japanese, Seafood",4.4,Zhongzheng District,1753,Taipei
Kiki Restaurant,"Chinese, Asian",4.4,Da'an,440,Taipei
Meat Boss Shabu Shabu Hotpot - Dunhua South,"Chinese, Asian",4.8,Da'an,407,Taipei
Balle Balle Indian Restaurant,"Indian, Asian",4.6,Songshan,689,Taipei
Texas Roadhouse,"American, Steakhouse",4.3,Xinyi District,892,Taipei
Le Palais Restaurant,"Chinese, Asian",4.4,Datong,25,Taipei
Jin Feng Lu Rou Fan,Chinese,4.2,Zhongzheng District,867,Taipei
Wulao,"Chinese, Asian",4.4,Zhongshan District,778,Taipei
WOOBAR,"Bar, International",4.8,Xinyi District,979,Taipei
Shi Ling Shabu,"Seafood, Asian",4.9,Zhongshan District,162,Taipei
Le Mian Wu,"Japanese, Asian",4.9,Da'an,469,Taipei
Cafe - Grand Hyatt Taipei,"Chinese, International",4.2,Xinyi District,1659,Taipei
Yen Bar,"American, Bar",4.9,Xinyi District,401,Taipei
Diamond Tony's 101 Authentic Italian Cuisine,"Italian, Bar",4.2,Xinyi District,2228,Taipei
Liu Shandong Beef Noodles,Chinese,4.1,Zhongzheng District,192,Taipei
Prime One Steak House,Steakhouse,4.4,Zhongzheng District,292,Taipei
BravoCafe Taipei No.3,"Bars & Pubs, Italian",4.8,Zhongshan District,520,Taipei
Fuhong Beef Noodles,"Chinese, Asian",4.2,Wanhua,177,Taipei
Moonlight Cantonese Restaurant - COURTYARD TAIPEI,"Chinese, Asian",4.8,Nangang,411,Taipei
No 168 Prime Steakhouse,"Steakhouse, European",4.5,Zhongshan District,944,Taipei
Spice Market,"Seafood, Asian",4.3,Xinyi District,993,Taipei
Marshal Zen Garden,"Chinese, International",4.1,Beitou,302,Taipei
ikki New Japanese Restaurant(Taipei Hengyan),"Japanese, Asian",4.4,Zhongzheng District,656,Taipei
Taïrroir,"French, European",4.4,Zhongshan District,285,Taipei
Fresh & Aged Italian Steak House,"Steakhouse, Fusion",4.4,Neihu,447,Taipei
Addiction Aquatic Development,"Japanese, Seafood",4.2,Zhongshan District,1384,Taipei
ShinYeh Japanese Buffet - Jhongshan Restaurant,"Japanese, Sushi",4.3,Zhongshan District,2049,Taipei
A Cheng Goose,"Chinese, Asian",4.5,Zhongshan District,149,Taipei
Chamonix Teppanyaki - Taipei Zhongshan N.Branch,"Asian, Soups",4.5,Zhongshan District,1165,Taipei
Rakuken Taipei,"Japanese, Steakhouse",4.8,Da'an,345,Taipei
Grand Hilai,"Chinese, Japanese",4.3,Da'an,6461,Taipei
Lin Dong Fang Niu Rou Mian,"Chinese, Asian",4.2,Zhongshan District,581,Taipei
